first_name,last_name,party,state,biography
"Richard","Shelby","Republican","Alabama","Richard Craig Shelby (born May 6, 1934) is the senior United States Senator from Alabama. First elected to the Senate in 1986, he is the ranking member of the United States Senate Committee on Appropriations and was the chairman of the United States Senate Committee on Banking, Housing, and Urban Affairs from 2003 to 2007."
"Jeff","Sessions","Republican","Alabama","Jefferson Beauregard "Jeff" Sessions III (born December 24, 1946) is the junior United States Senator from Alabama. First elected in 1996, Sessions is a member of the Republican Party. He serves as the ranking minority member on the Senate Budget Committee."
"Lisa","Murkowski","Republican","Alaska","Lisa Ann Murkowski (born May 22, 1957) is the senior United States Senator from the State of Alaska and a member of the Republican Party. Murkowski has served in the Senate since 2002 and became the senior Senator after Ted Stevens, who served for over forty years, left office in January 2009 after losing a re-election bid."
"Mark","Begich","Democratic","Alaska","Mark Peter Begich[2] (/ˈbɛɡɪtʃ/; born March 30, 1962) is the junior United States Senator from Alaska and a member of the Democratic Party. He is a former mayor of Anchorage."
"John","McCain","Republican","Arizona","John Sidney McCain III (born August 29, 1936) is the senior United States Senator from Arizona. He was the Republican presidential nominee in the 2008 United States presidential election."
"Jeff","Flake","Republican","Arizona","Jeffry Lane "Jeff" Flake (born December 31, 1962) is an American politician and the junior United States Senator from Arizona. He served as a U.S. Representative for Arizona from 2001–2013, representing Arizona's 6th congressional district (initially Arizona's 1st congressional district). He is a member of the Republican Party."
"Mark","Pryor","Democratic","Arkansas","Mark Lunsford Pryor (born January 10, 1963) is the senior United States Senator from Arkansas, serving since 2003. He is a member of the Democratic Party and former Attorney General of Arkansas."
"John","Boozman","Republican","Arkansas","John Nichols Boozman (/ˈboʊzmən/ bohz-mən; born December 10, 1950) is the junior United States Senator for Arkansas (since 2011). A member of the Republican Party, he previously served as the United States Representative for Arkansas's 3rd congressional district (2001–2011)."
"Dianne","Feinstein","Democratic","California","Dianne Goldman Berman Feinstein, born Dianne Emiel Goldman[2] (/ˈfaɪnstaɪn/; born June 22, 1933) is the senior United States Senator from California. A member of the Democratic Party, she has served in the Senate since 1992. She also served as 38th Mayor of San Francisco from 1978 to 1988."
"Barbara","Boxer","Democratic","California","Barbara Levy Boxer (born November 11, 1940) is the junior United States Senator from California (since 1993). A member of the Democratic Party, she previously served in the U.S. House of Representatives (1983–1993)."
